seq,stateDt,stateTime,decideCnt,clearCnt,examCnt,deathCnt,careCnt,resutlNegCnt,accExamCnt,accExamCompCnt,accDefRate,createDt,updateDt
1111,20221226,00:00,28684600.0,,,31832.0,,,,,,2022-12-26 00:48:49.0,null
1110,20221225,00:00,28659055.0,,,31790.0,,,,,,2022-12-25 06:48:15.0,null
1109,20221224,00:00,28600607.0,,,31744.0,,,,,,2022-12-24 01:09:15.0,null
1108,20221223,00:00,28534558.0,,,31674.0,,,,,,2022-12-23 03:14:07.0,null
1107,20221222,00:00,28466390.0,,,31611.0,,,,,,2022-12-22 01:18:07.0,null
1106,20221221,00:00,28390646.0,,,31549.0,,,,,,2022-12-21 05:36:53.0,null
1105,20221220,00:00,28302474.0,,,31490.0,,,,,,2022-12-20 02:52:56.0,null
1104,20221219,00:00,28214915.0,,,31434.0,,,,,,2022-12-19 04:05:07.0,null
1103,20221218,00:00,28188293.0,,,31395.0,,,,,,2022-12-18 01:01:22.0,null
1102,20221217,00:00,28129431.0,,,31353.0,,,,,,2022-12-17 05:14:33.0,null
1101,20221216,00:00,28062679.0,,,31298.0,,,,,,2022-12-16 05:48:50.0,null
1100,20221215,00:00,27995726.0,,,31232.0,,,,,,2022-12-15 00:54:32.0,null
1099,20221214,00:00,27925572.0,,,31174.0,,,,,,2022-12-14 00:42:41.0,null
1098,20221213,00:00,27841001.0,,,31128.0,,,,,,2022-12-13 04:34:20.0,null
1097,20221212,00:00,27754149.0,,,31099.0,,,,,,2022-12-12 00:34:36.0,null
1096,20221211,00:00,27728482.0,,,31069.0,,,,,,2022-12-11 01:10:06.0,null
1095,20221210,00:00,27674163.0,,,31029.0,,,,,,2022-12-10 00:41:17.0,null
1094,20221209,00:00,27611555.0,,,30975.0,,,,,,2022-12-09 05:42:28.0,null
1093,20221208,00:00,27548821.0,,,30908.0,,,,,,2022-12-08 01:09:53.0,null
1092,20221207,00:00,27483568.0,,,30847.0,,,,,,2022-12-07 01:05:13.0,null
1091,20221206,00:00,27408854.0,,,30793.0,,,,,,2022-12-06 01:00:52.0,null
1090,20221205,00:00,27331250.0,,,30769.0,,,,,,2022-12-05 06:19:02.0,null
1089,20221204,00:00,27308090.0,,,30729.0,,,,,,2022-12-04 03:41:12.0,null
1088,20221203,00:00,27261526.0,,,30669.0,,,,,,2022-12-03 03:50:44.0,null
1087,20221202,00:00,27208800.0,,,30621.0,,,,,,2022-12-02 00:21:56.0,2022-12-02 01:03:12.0
1086,20221201,00:00,27155813.0,,,30568.0,,,,,,2022-12-01 03:39:22.0,null
1085,20221130,00:00,27098734.0,,,30506.0,,,,,,2022-11-30 02:39:44.0,null
1084,20221129,00:00,27031319.0,,,30454.0,,,,,,2022-11-29 01:57:16.0,null
1083,20221128,00:00,26959843.0,,,30413.0,,,,,,2022-11-28 01:52:34.0,null
1082,20221127,00:00,26937516.0,,,30369.0,,,,,,2022-11-27 05:04:03.0,null
1081,20221126,00:00,26890488.0,,,30330.0,,,,,,2022-11-26 04:08:52.0,null
1080,20221125,00:00,26837840.0,,,30278.0,,,,,,2022-11-25 00:55:13.0,null
1079,20221124,00:00,26784142.0,,,30223.0,,,,,,2022-11-24 00:40:47.0,null
1078,20221123,00:00,26725053.0,,,30164.0,,,,,,2022-11-23 05:05:29.0,null
1077,20221122,00:00,26654729.0,,,30111.0,,,,,,2022-11-22 04:11:11.0,null
1076,20221121,00:00,26581856.0,,,30066.0,,,,,,2022-11-21 01:24:08.0,null
1075,20221120,00:00,26558765.0,,,30031.0,,,,,,2022-11-20 00:34:59.0,null
1074,20221119,00:00,26512754.0,,,29990.0,,,,,,2022-11-19 05:42:54.0,null
1073,20221118,00:00,26462319.0,,,29925.0,,,,,,2022-11-18 03:18:10.0,null
1072,20221117,00:00,26412901.0,,,29862.0,,,,,,2022-11-17 01:41:53.0,null
1071,20221116,00:00,26357464.0,,,29795.0,,,,,,2022-11-16 01:27:17.0,null
1070,20221115,00:00,26290877.0,,,29748.0,,,,,,2022-11-15 02:13:39.0,null
1069,20221114,00:00,26217994.0,,,29709.0,,,,,,2022-11-14 06:27:50.0,null
1068,20221113,00:00,26194229.0,,,29665.0,,,,,,2022-11-13 01:21:47.0,null
1067,20221112,00:00,26145764.0,,,29617.0,,,,,,2022-11-12 00:39:24.0,null
1066,20221111,00:00,26091539.0,,,29571.0,,,,,,2022-11-11 06:37:35.0,null
1065,20221110,00:00,26037020.0,,,29531.0,,,,,,2022-11-10 03:09:27.0,null
1064,20221109,00:00,25981655.0,,,29479.0,,,,,,2022-11-09 01:43:42.0,null
1063,20221108,00:00,25919183.0,,,29420.0,,,,,,2022-11-08 02:06:57.0,null
1062,20221107,00:00,25856910.0,,,29390.0,,,,,,2022-11-07 05:39:18.0,null
1061,20221106,00:00,25838239.0,,,29372.0,,,,,,2022-11-06 03:44:25.0,null
1060,20221105,00:00,25801564.0,,,29354.0,,,,,,2022-11-05 01:10:56.0,null
1059,20221104,00:00,25760701.0,,,29315.0,,,,,,2022-11-04 00:48:07.0,null
1058,20221103,00:00,25717277.0,,,29280.0,,,,,,2022-11-03 02:04:05.0,null
1057,20221102,00:00,25670407.0,,,29239.0,,,,,,2022-11-02 01:02:39.0,null
1056,20221101,00:00,25615667.0,,,29209.0,,,,,,2022-11-01 06:45:13.0,null
1055,20221031,00:00,25557309.0,,,29176.0,,,,,,2022-10-31 00:40:23.0,null
1053,20221030,00:00,25538799.0,,,29158.0,,,,,,2022-10-30 00:58:32.0,null
1051,20221029,00:00,25504288.0,,,29131.0,,,,,,2022-10-29 03:48:28.0,null
1050,20221028,00:00,25466992.0,,,29100.0,,,,,,2022-10-28 08:41:24.0,null
1049,20221027,00:00,25431105.0,,,29069.0,,,,,,2022-10-27 08:14:14.0,null
1048,20221026,00:00,25396155.0,,,29043.0,,,,,,2022-10-26 09:35:56.0,null
1047,20221025,00:00,25355350.0,,,29017.0,,,,,,2022-10-25 08:55:13.0,null
1046,20221024,00:00,25311636.0,,,29000.0,,,,,,2022-10-24 08:16:23.0,null
1045,20221023,00:00,25297334.0,,,28990.0,,,,,,2022-10-23 07:34:23.0,null
1043,20221021,00:00,25244255.0,,,28952.0,,,,,,2022-10-21 08:07:57.0,null
1041,20221019,00:00,25194177.0,,,28899.0,,,,,,2022-10-19 08:33:50.0,null
1040,20221018,00:00,25164695.0,,,28856.0,,,,,,2022-10-18 09:03:59.0,null
1039,20221017,00:00,25131505.0,,,28851.0,,,,,,2022-10-17 09:14:46.0,null
1038,20221016,00:00,25120465.0,,,28840.0,,,,,,2022-10-16 07:52:46.0,null
