"visit_date","category","gender","counts","sales"
201901,간이주점,남성,164960,8639897141
201901,간이주점,여성,95318,3796381243
201901,고기요리,남성,278892,18752384343
201901,고기요리,여성,184452,11452862145
201901,닭/오리요리,남성,280099,7725315796
201901,닭/오리요리,여성,226661,5923213256
201901,별식/퓨전요리,남성,70056,1911606165
201901,별식/퓨전요리,여성,55110,1593174389
201901,부페,남성,16289,761079960
201901,부페,여성,10656,669647172
201901,분식,남성,377590,7581858851
201901,분식,여성,377609,7049165206
201901,양식,남성,131181,5184065080
201901,양식,여성,146329,5160893848
201901,유흥주점,남성,106887,21480318650
201901,유흥주점,여성,41901,4321598032
201901,일식/수산물,남성,317924,22185918454
201901,일식/수산물,여성,256830,16595668337
201901,제과/제빵/떡/케익,남성,301569,4586163702
201901,제과/제빵/떡/케익,여성,435597,6362328878
201901,중식,남성,185310,5210577237
201901,중식,여성,115692,3455772541
201901,커피/음료,남성,580084,7886700466
201901,커피/음료,여성,764270,10449905373
201901,패스트푸드,남성,331173,4346954534
201901,패스트푸드,여성,337664,4344870629
201901,한식,남성,1389967,58162673742
201901,한식,여성,996802,38354034233
201902,간이주점,남성,155012,8206353989
201902,간이주점,여성,87171,3437692290
201902,고기요리,남성,248620,17053955641
201902,고기요리,여성,160997,10498642911
201902,닭/오리요리,남성,238621,6759813720
201902,닭/오리요리,여성,187086,4960407903
201902,별식/퓨전요리,남성,53934,1554054431
201902,별식/퓨전요리,여성,44450,1273080013
201902,부페,남성,13094,617340898
201902,부페,여성,8524,527648961
201902,분식,남성,347818,7232481303
201902,분식,여성,331199,6232701252
201902,양식,남성,122695,5092709543
201902,양식,여성,130890,4634058707
201902,유흥주점,남성,102731,19815074549
201902,유흥주점,여성,42799,4056393192
201902,일식/수산물,남성,290819,20535608041
201902,일식/수산물,여성,226681,14561389692
201902,제과/제빵/떡/케익,남성,275225,4467187942
201902,제과/제빵/떡/케익,여성,380319,6048032007
201902,중식,남성,166071,5008637416
201902,중식,여성,101952,3035714642
201902,커피/음료,남성,567039,8080541749
201902,커피/음료,여성,700006,9709028116
201902,패스트푸드,남성,305176,4083346570
201902,패스트푸드,여성,291289,3714479721
201902,한식,남성,1227330,53029953197
201902,한식,여성,857533,33503165799
201903,간이주점,남성,164349,8818097821
201903,간이주점,여성,91997,3796745869
201903,고기요리,남성,267614,17527536296
201903,고기요리,여성,178862,11044914362
201903,닭/오리요리,남성,262741,7517771428
201903,닭/오리요리,여성,210464,5469676637
201903,별식/퓨전요리,남성,62873,1842751079
201903,별식/퓨전요리,여성,50863,1450734064
201903,부페,남성,16304,732974137
201903,부페,여성,10411,583522150
201903,분식,남성,374523,7033964679
201903,분식,여성,377337,6583628996
201903,양식,남성,130460,4975001096
201903,양식,여성,141230,4834436547
201903,유흥주점,남성,116468,23869236774
201903,유흥주점,여성,49774,4896031151
201903,일식/수산물,남성,311609,21149207199
201903,일식/수산물,여성,260765,16472136430
201903,제과/제빵/떡/케익,남성,306937,4615104307
201903,제과/제빵/떡/케익,여성,443517,6549829715
201903,중식,남성,193256,5418115265
201903,중식,여성,120246,3435648975
201903,커피/음료,남성,594295,7952119886
201903,커피/음료,여성,788445,10464184966
201903,패스트푸드,남성,325125,3990969110
201903,패스트푸드,여성,316814,3822638685
201903,한식,남성,1369306,58026711521
201903,한식,여성,983133,37501632997
201904,간이주점,남성,158292,8625482545
201904,간이주점,여성,89690,3596486325
201904,고기요리,남성,266132,17482255919
201904,고기요리,여성,172695,10676074683
201904,닭/오리요리,남성,252403,7141207330
201904,닭/오리요리,여성,200687,5281917147
201904,별식/퓨전요리,남성,61995,1736231106
201904,별식/퓨전요리,여성,52570,1403955346
201904,부페,남성,15422,799085782
201904,부페,여성,10387,478124503
201904,분식,남성,389593,7466331151
201904,분식,여성,379370,6609026273
201904,양식,남성,127577,4985410165
201904,양식,여성,142861,4771239871
201904,유흥주점,남성,108065,21833484300
201904,유흥주점,여성,48667,4706191033
201904,일식/수산물,남성,311093,22028137830
201904,일식/수산물,여성,256720,16971449980
201904,제과/제빵/떡/케익,남성,300528,4526436946
201904,제과/제빵/떡/케익,여성,431150,6289225908
201904,중식,남성,192800,5293585185
201904,중식,여성,113224,3366097168
201904,커피/음료,남성,631070,8267368868
201904,커피/음료,여성,807753,10380600309
201904,패스트푸드,남성,323183,4023927118
201904,패스트푸드,여성,314388,3753351265
201904,한식,남성,1376895,58399211642
201904,한식,여성,988935,39211971629
201905,간이주점,남성,176155,8895140916
201905,간이주점,여성,97029,3710239544
201905,고기요리,남성,282440,18616004214
201905,고기요리,여성,183305,11523512135
201905,닭/오리요리,남성,266164,7833167052
201905,닭/오리요리,여성,216085,5727398353
201905,별식/퓨전요리,남성,67227,1930235489
201905,별식/퓨전요리,여성,52471,1497097294
201905,부페,남성,16702,762869835
201905,부페,여성,10008,583242497
201905,분식,남성,447416,8559956424
201905,분식,여성,423671,7567189600
201905,양식,남성,151454,5860511405
201905,양식,여성,163230,5536830123
201905,유흥주점,남성,117052,23103743438
201905,유흥주점,여성,50637,4847850758
201905,일식/수산물,남성,346316,24288439062
201905,일식/수산물,여성,273015,17621134574
201905,제과/제빵/떡/케익,남성,306177,4715323210
201905,제과/제빵/떡/케익,여성,441755,6445337016
201905,중식,남성,201715,5594654375
201905,중식,여성,124724,3615536286
201905,커피/음료,남성,715234,9657584807
201905,커피/음료,여성,893660,11631671384
201905,패스트푸드,남성,362585,4490766620
201905,패스트푸드,여성,350857,4226115782
201905,한식,남성,1501939,64818145235
201905,한식,여성,1039028,41258074504
201906,간이주점,남성,169112,9042196599
201906,간이주점,여성,102751,4077707269
201906,고기요리,남성,278612,18250143395
201906,고기요리,여성,184514,11148503611
201906,닭/오리요리,남성,279646,8121635732
201906,닭/오리요리,여성,222254,5805524433
201906,별식/퓨전요리,남성,63202,1676837451
201906,별식/퓨전요리,여성,49153,1368765229
201906,부페,남성,16215,707198129
201906,부페,여성,10032,573939882
201906,분식,남성,447999,8780666661
201906,분식,여성,434057,7895842331
201906,양식,남성,155472,5967701802
201906,양식,여성,167943,5871958847
201906,유흥주점,남성,113932,22022997713
201906,유흥주점,여성,50432,4703359896
201906,일식/수산물,남성,360694,24390929620
201906,일식/수산물,여성,282358,18560628165
201906,제과/제빵/떡/케익,남성,306860,4472299320
201906,제과/제빵/떡/케익,여성,434453,6233170359
201906,중식,남성,208301,5567550126
201906,중식,여성,131698,3712034815
201906,커피/음료,남성,724327,9889013624
201906,커피/음료,여성,921081,12169681581
201906,패스트푸드,남성,367694,4474664883
201906,패스트푸드,여성,345272,4206228628
201906,한식,남성,1488645,63612520437
201906,한식,여성,1064276,42141702212
201907,간이주점,남성,175387,9010101372
201907,간이주점,여성,105451,3978331598
201907,고기요리,남성,289657,18458619232
201907,고기요리,여성,192405,11738222150
201907,닭/오리요리,남성,295788,8560357966
201907,닭/오리요리,여성,237660,6383443710
201907,별식/퓨전요리,남성,63833,1785387236
201907,별식/퓨전요리,여성,50627,1352505548
201907,부페,남성,18500,871415999
201907,부페,여성,12094,592900936
201907,분식,남성,496612,9371398004
201907,분식,여성,491849,8677719810
201907,양식,남성,158658,6241735449
201907,양식,여성,173539,6105530868
201907,유흥주점,남성,112108,21574072243
201907,유흥주점,여성,48995,4650329843
201907,일식/수산물,남성,360495,23786962465
201907,일식/수산물,여성,284656,17241140930
201907,제과/제빵/떡/케익,남성,320873,4638726322
201907,제과/제빵/떡/케익,여성,446046,6327086477
201907,중식,남성,215430,5728251171
201907,중식,여성,140973,3869100262
201907,커피/음료,남성,784496,10441596162
201907,커피/음료,여성,991250,13082371611
201907,패스트푸드,남성,384169,4851404106
201907,패스트푸드,여성,376520,4682090551
201907,한식,남성,1579044,65039196300
201907,한식,여성,1134803,44087877925
201908,간이주점,남성,193305,9687779024
201908,간이주점,여성,120700,4625482788
