,연월,nationNm,월별확진자수
0,202003,일본,1953.0
1,202004,일본,12135.0
2,202005,일본,4716.0
3,202006,일본,13877.0
4,202007,일본,20495.0
5,202008,일본,47370.0
6,202009,일본,35124.0
7,202010,일본,64498.0
8,202011,일본,82262.0
9,202012,일본,144334.0
10,202101,일본,238749.0
11,202102,일본,191790.0
12,202103,일본,278385.0
13,202104,일본,302603.0
14,202105,일본,439071.0
15,202106,일본,357758.0
16,202107,일본,544960.0
17,202108,일본,909404.0
18,202109,일본,788227.0
19,202110,일본,929753.0
20,202111,일본,797390.0
21,202112,일본,934979.0
22,202201,일본,1486464.0
23,202202,일본,3264032.0
24,202203,일본,3188076.0
25,202204,일본,4583460.0
26,202205,일본,4228154.0
27,202206,일본,5054929.0
28,202207,일본,6833128.0
29,202208,일본,11799294.0
30,202209,일본,9319031.0
31,202210,일본,12787095.0
32,202211,일본,11732579.0
33,202212,일본,27581407.0
