index,visit_date,local_corona
0,202001,0.0
1,202002,3150.0
2,202003,6636.0
3,202004,979.0
4,202005,703.0
5,202006,1332.0
6,202007,1505.0
7,202008,5642.0
8,202009,3865.0
9,202010,2699.0
10,202011,7690.0
11,202012,26539.0
12,202101,16655.0
13,202102,12281.0
14,202103,13412.0
15,202104,18919.0
16,202105,18333.0
17,202106,16621.0
18,202107,41384.0
19,202108,53076.0
20,202109,59868.0
21,202110,53411.0
22,202111,82530.0
23,202112,183608.0
24,202201,214871.0
25,202202,2288747.0
26,202203,9961175.0
27,202204,4142247.0
28,202205,865760.0
29,202206,255703.0
30,202207,1416709.0
31,202208,3470348.0
32,202209,1522703.0
33,202210,788208.0
34,202211,1541425.0
35,202212,1585866.0
