visit_date_num,visitor_local,local_corona,gender_label,category_label,sales_per_counts
201901_1,1024130.0,0.0,0,0,52375.71011760427
201901_2,1024130.0,0.0,1,0,39828.58686711849
201901_3,1024130.0,0.0,0,1,67238.87505916269
201901_4,1024130.0,0.0,1,1,62091.287408106175
201901_5,1024130.0,0.0,0,2,27580.661823141105
201901_6,1024130.0,0.0,1,2,26132.476500147797
201901_7,1024130.0,0.0,0,3,27286.830035971223
201901_8,1024130.0,0.0,1,3,28908.989094538196
201901_9,1024130.0,0.0,0,4,46723.55331819019
201901_10,1024130.0,0.0,1,4,62842.26463963964
201901_11,1024130.0,0.0,0,5,20079.60711618422
201901_12,1024130.0,0.0,1,5,18667.89511372875
201901_13,1024130.0,0.0,0,6,39518.414099602836
201901_14,1024130.0,0.0,1,6,35269.11171401431
201901_15,1024130.0,0.0,0,7,200962.87340836585
201901_16,1024130.0,0.0,1,7,103138.30295219684
201901_17,1024130.0,0.0,0,8,69783.7170330016
201901_18,1024130.0,0.0,1,8,64617.32794844839
201901_19,1024130.0,0.0,0,9,15207.676193507954
201901_20,1024130.0,0.0,1,9,14605.997924687268
201901_21,1024130.0,0.0,0,10,28118.165436295938
201901_22,1024130.0,0.0,1,10,29870.453799744148
201901_23,1024130.0,0.0,0,11,13595.790378634818
201901_24,1024130.0,0.0,1,11,13673.054513457286
201901_25,1024130.0,0.0,0,12,13125.93277229726
201901_26,1024130.0,0.0,1,12,12867.438130804587
201901_27,1024130.0,0.0,0,13,41844.64360808566
201901_28,1024130.0,0.0,1,13,38477.08394746399
201902_1,998890.0,0.0,0,0,52940.12069388176
201902_2,998890.0,0.0,1,0,39436.19196751213
201902_3,998890.0,0.0,0,1,68594.4640053093
201902_4,998890.0,0.0,1,1,65210.17727659522
201902_5,998890.0,0.0,0,2,28328.662271971032
201902_6,998890.0,0.0,1,2,26514.05184246817
201902_7,998890.0,0.0,0,3,28814.002873882895
201902_8,998890.0,0.0,1,3,28640.72020247469
201902_9,998890.0,0.0,0,4,47146.85336795479
201902_10,998890.0,0.0,1,4,61901.56745659315
201902_11,998890.0,0.0,0,5,20793.867203537484
201902_12,998890.0,0.0,1,5,18818.599246978403
201902_13,998890.0,0.0,0,6,41507.066653082846
201902_14,998890.0,0.0,1,6,35404.22268316907
201902_15,998890.0,0.0,0,7,192883.10781555713
201902_16,998890.0,0.0,1,7,94777.75630271736
201902_17,998890.0,0.0,0,8,70613.0206107579
201902_18,998890.0,0.0,1,8,64237.363043219324
201902_19,998890.0,0.0,0,9,16231.039847397584
201902_20,998890.0,0.0,1,9,15902.523952261128
201902_21,998890.0,0.0,0,10,30159.61495986656
201902_22,998890.0,0.0,1,10,29775.920452762086
201902_23,998890.0,0.0,0,11,14250.416195358697
201902_24,998890.0,0.0,1,11,13869.921280674736
201902_25,998890.0,0.0,0,12,13380.300449576638
201902_26,998890.0,0.0,1,12,12751.87089454116
201902_27,998890.0,0.0,0,13,43207.5751403453
201902_28,998890.0,0.0,1,13,39069.24374805401
201903_1,1038223.0,0.0,0,0,53654.70931371654
201903_2,1038223.0,0.0,1,0,41270.32260834592
201903_3,1038223.0,0.0,0,1,65495.588033510954
201903_4,1038223.0,0.0,1,1,61751.039136317384
201903_5,1038223.0,0.0,0,2,28612.859919083814
201903_6,1038223.0,0.0,1,2,25988.656668123764
201903_7,1038223.0,0.0,0,3,29309.100551906224
201903_8,1038223.0,0.0,1,3,28522.384916343904
201903_9,1038223.0,0.0,0,4,44956.70614573111
201903_10,1038223.0,0.0,1,4,56048.61684756508
201903_11,1038223.0,0.0,0,5,18781.128739756972
201903_12,1038223.0,0.0,1,5,17447.610480816882
201903_13,1038223.0,0.0,0,6,38134.30243752874
201903_14,1038223.0,0.0,1,6,34230.94630744176
201903_15,1038223.0,0.0,0,7,204942.44577051207
201903_16,1038223.0,0.0,1,7,98365.2338771246
201903_17,1038223.0,0.0,0,8,67870.97676575452
201903_18,1038223.0,0.0,1,8,63168.50969263513
201903_19,1038223.0,0.0,0,9,15035.998615351033
201903_20,1038223.0,0.0,1,9,14767.933844700428
201903_21,1038223.0,0.0,0,10,28035.94850871383
201903_22,1038223.0,0.0,1,10,28571.835861483956
201903_23,1038223.0,0.0,0,11,13380.761887614737
201903_24,1038223.0,0.0,1,11,13271.927611945031
201903_25,1038223.0,0.0,0,12,12275.18372933487
201903_26,1038223.0,0.0,1,12,12065.876776278827
201903_27,1038223.0,0.0,0,13,42376.73063654143
201903_28,1038223.0,0.0,1,13,38145.025135968375
201904_1,1158666.0,0.0,0,0,54490.95687084628
201904_2,1158666.0,0.0,1,0,40099.0782138477
201904_3,1158666.0,0.0,0,1,65690.16848406054
201904_4,1158666.0,0.0,1,1,61820.4040823417
201904_5,1158666.0,0.0,0,2,28292.878174982074
201904_6,1158666.0,0.0,1,2,26319.179353919288
201904_7,1158666.0,0.0,0,3,28005.98606339221
201904_8,1158666.0,0.0,1,3,26706.398059729883
201904_9,1158666.0,0.0,0,4,51814.66619115549
201904_10,1158666.0,0.0,1,4,46031.048714739576
201904_11,1158666.0,0.0,0,5,19164.43866034554
201904_12,1158666.0,0.0,1,5,17421.056680812926
201904_13,1158666.0,0.0,0,6,39077.6563565533
201904_14,1158666.0,0.0,1,6,33397.777357011364
201904_15,1158666.0,0.0,0,7,202040.2933419701
201904_16,1158666.0,0.0,1,7,96701.89313086896
201904_17,1158666.0,0.0,0,8,70808.8508259588
201904_18,1158666.0,0.0,1,8,66108.79549703958
201904_19,1158666.0,0.0,0,9,15061.614711441196
201904_20,1158666.0,0.0,1,9,14587.094765162936
201904_21,1158666.0,0.0,0,10,27456.3546939834
201904_22,1158666.0,0.0,1,10,29729.537624531902
201904_23,1158666.0,0.0,0,11,13100.557573644763
201904_24,1158666.0,0.0,1,11,12851.206134796157
201904_25,1158666.0,0.0,0,12,12450.92445456599
201904_26,1158666.0,0.0,1,12,11938.595827448884
201904_27,1158666.0,0.0,0,13,42413.70013109206
201904_28,1158666.0,0.0,1,13,39650.70669862023
201905_1,1176059.0,0.0,0,0,50496.10238710227
201905_2,1176059.0,0.0,1,0,38238.46008925167
201905_3,1176059.0,0.0,0,1,65911.35892224897
201905_4,1176059.0,0.0,1,1,62865.23627287854
201905_5,1176059.0,0.0,0,2,29429.851715483688
201905_6,1176059.0,0.0,1,2,26505.302788254623
201905_7,1176059.0,0.0,0,3,28712.206241539858
201905_8,1176059.0,0.0,1,3,28531.899411103277
201905_9,1176059.0,0.0,0,4,45675.358340318526
201905_10,1176059.0,0.0,1,4,58277.627597921666
201905_11,1176059.0,0.0,0,5,19131.985498953993
201905_12,1176059.0,0.0,1,5,17861.004411441896
201905_13,1176059.0,0.0,0,6,38694.99257200206
201905_14,1176059.0,0.0,1,6,33920.41979415549
201905_15,1176059.0,0.0,0,7,197380.16811331717
201905_16,1176059.0,0.0,1,7,95737.32168177419
201905_17,1176059.0,0.0,0,8,70133.74797006203
201905_18,1176059.0,0.0,1,8,64542.7341867663
201905_19,1176059.0,0.0,0,9,15400.644757770831
201905_20,1176059.0,0.0,1,9,14590.297825717875
201905_21,1176059.0,0.0,0,10,27735.4404729445
201905_22,1176059.0,0.0,1,10,28988.29644655399
201905_23,1176059.0,0.0,0,11,13502.692555163765
201905_24,1176059.0,0.0,1,11,13015.76817134033
201905_25,1176059.0,0.0,0,12,12385.417543472566
201905_26,1176059.0,0.0,1,12,12045.123175538753
201905_27,1176059.0,0.0,0,13,43156.31009981098
201905_28,1176059.0,0.0,1,13,39708.33750774762
201906_1,1155020.0,0.0,0,0,53468.687018070865
201906_2,1155020.0,0.0,1,0,39685.329281466846
201906_3,1155020.0,0.0,0,1,65503.79522418274
201906_4,1155020.0,0.0,1,1,60420.909042132305
201906_5,1155020.0,0.0,0,2,29042.559993706327
201906_6,1155020.0,0.0,1,2,26121.12462767824
201906_7,1155020.0,0.0,0,3,26531.39854751432
201906_8,1155020.0,0.0,1,3,27847.033324517324
201906_9,1155020.0,0.0,0,4,43613.822325007706
201906_10,1155020.0,0.0,1,4,57210.913277511965
201906_11,1155020.0,0.0,0,5,19599.74611773687
201906_12,1155020.0,0.0,1,5,18190.79598071221
201906_13,1155020.0,0.0,0,6,38384.41521302871
201906_14,1155020.0,0.0,1,6,34963.998779347756
201906_15,1155020.0,0.0,0,7,193299.49191623073
201906_16,1155020.0,0.0,1,7,93261.41925761421
201906_17,1155020.0,0.0,0,8,67622.22166157463
201906_18,1155020.0,0.0,1,8,65734.38034339384
201906_19,1155020.0,0.0,0,9,14574.39653262074
201906_20,1155020.0,0.0,1,9,14347.16841407471
201906_21,1155020.0,0.0,0,10,26728.388850749638
201906_22,1155020.0,0.0,1,10,28185.961935640633
201906_23,1155020.0,0.0,0,11,13652.692256398008
201906_24,1155020.0,0.0,1,11,13212.390203467448
201906_25,1155020.0,0.0,0,12,12169.534675572622
201906_26,1155020.0,0.0,1,12,12182.362392548484
201906_27,1155020.0,0.0,0,13,42731.82688753867
201906_28,1155020.0,0.0,1,13,39596.5916848637
201907_1,1157447.0,0.0,0,0,51372.68652750774
201907_2,1157447.0,0.0,1,0,37726.826658827325
201907_3,1157447.0,0.0,0,1,63725.783364462106
201907_4,1157447.0,0.0,1,1,61007.88519009381
201907_5,1157447.0,0.0,0,2,28940.856174016524
201907_6,1157447.0,0.0,1,2,26859.562862913404
201907_7,1157447.0,0.0,0,3,27969.658891169143
201907_8,1157447.0,0.0,1,3,26715.103561340788
201907_9,1157447.0,0.0,0,4,47103.56751351352
201907_10,1157447.0,0.0,1,4,49024.38696874483
201907_11,1157447.0,0.0,0,5,18870.66362472111
201907_12,1157447.0,0.0,1,5,17643.056730825923
201907_13,1157447.0,0.0,0,6,39340.81766441024
201907_14,1157447.0,0.0,1,6,35182.47119091386
201907_15,1157447.0,0.0,0,7,192440.07780889855
201907_16,1157447.0,0.0,1,7,94914.37581385855
201907_17,1157447.0,0.0,0,8,65984.16750579065
201907_18,1157447.0,0.0,1,8,60568.33838036086
201907_19,1157447.0,0.0,0,9,14456.580397852109
201907_20,1157447.0,0.0,1,9,14184.8295400026
201907_21,1157447.0,0.0,0,10,26589.849004316948
201907_22,1157447.0,0.0,1,10,27445.682946379802
201907_23,1157447.0,0.0,0,11,13309.941876058005
201907_24,1157447.0,0.0,1,11,13197.852823203026
201907_25,1157447.0,0.0,0,12,12628.307088807269
201907_26,1157447.0,0.0,1,12,12435.170909911823
201907_27,1157447.0,0.0,0,13,41188.970225022225
201907_28,1157447.0,0.0,1,13,38850.68855563477
201908_1,1243132.0,0.0,0,0,50116.54651457541
201908_2,1243132.0,0.0,1,0,38322.14405965203
201908_3,1243132.0,0.0,0,1,65320.36133620079
201908_4,1243132.0,0.0,1,1,61406.097147995766
201908_5,1243132.0,0.0,0,2,28812.75497189026
201908_6,1243132.0,0.0,1,2,26995.470879629447
201908_7,1243132.0,0.0,0,3,28099.8587413366
201908_8,1243132.0,0.0,1,3,27187.036544970768
201908_9,1243132.0,0.0,0,4,42697.454423106785
201908_10,1243132.0,0.0,1,4,50574.33806523094
201908_11,1243132.0,0.0,0,5,19333.885234064604
201908_12,1243132.0,0.0,1,5,17925.878257907298
201908_13,1243132.0,0.0,0,6,38934.79949084129
201908_14,1243132.0,0.0,1,6,35458.22521797731
201908_15,1243132.0,0.0,0,7,186510.45542343459
201908_16,1243132.0,0.0,1,7,80764.68050808736
201908_17,1243132.0,0.0,0,8,64597.531401385335
201908_18,1243132.0,0.0,1,8,61348.3167422077
201908_19,1243132.0,0.0,0,9,14608.125525010611
201908_20,1243132.0,0.0,1,9,14556.271985547415
201908_21,1243132.0,0.0,0,10,27584.52828325395
201908_22,1243132.0,0.0,1,10,27933.68255319149
201908_23,1243132.0,0.0,0,11,13668.386119717994
201908_24,1243132.0,0.0,1,11,13395.28850575516
201908_25,1243132.0,0.0,0,12,12980.718449265525
201908_26,1243132.0,0.0,1,12,12731.67287852414
201908_27,1243132.0,0.0,0,13,42821.3297789498
201908_28,1243132.0,0.0,1,13,39540.58737716584
201909_1,1032478.0,0.0,0,0,53619.90689083815
201909_2,1032478.0,0.0,1,0,39132.14585275387
201909_3,1032478.0,0.0,0,1,63505.70302345295
201909_4,1032478.0,0.0,1,1,61665.544478905445
201909_5,1032478.0,0.0,0,2,28308.454627344523
201909_6,1032478.0,0.0,1,2,25904.214252035006
201909_7,1032478.0,0.0,0,3,26014.693110060503
201909_8,1032478.0,0.0,1,3,27703.194531847945
201909_9,1032478.0,0.0,0,4,48987.34877959927
201909_10,1032478.0,0.0,1,4,59845.75061100792
201909_11,1032478.0,0.0,0,5,18748.70744074516
201909_12,1032478.0,0.0,1,5,16880.837124991285
201909_13,1032478.0,0.0,0,6,38820.53953703922
201909_14,1032478.0,0.0,1,6,35914.657413798275
201909_15,1032478.0,0.0,0,7,194847.1074521817
