,연월,업종명,이용자구분,성별,이용자수,이용건수,이용금액
2616,202012,한식 음식점업,중국,알수없음,60,65,3890100
2090,202005,기타 외국식 음식점업,내국인,남성,2385,2453,70953587
1351,201907,기타 외국식 음식점업,법인,알수없음,4042,4387,208895327
2466,202010,일식 음식점업,법인,알수없음,8759,9061,1076028127
2233,202007,비알콜 음료점업,내국인,남성,23642,25649,262810269
3053,202107,일식 음식점업,제주도민,남성,10908,11316,661273060
696,201810,빵 및 과자류 소매업,제주도민,여성,48170,51574,613005605
2228,202007,기타 주점업,내국인,여성,109,114,20602300
119,201802,중식 음식점업,내국인,남성,5574,5707,158298281
1255,201905,한식 음식점업,내국인,남성,173419,181615,7506660068
181,201803,일식 음식점업,기타외국,알수없음,3,3,156000
1598,201910,비알콜 음료점업,일본,알수없음,2,2,9500
2070,202004,일식 음식점업,제주도민,여성,8029,8212,388634850
750,201811,기타 외국식 음식점업,제주도민,남성,9063,9438,300007928
1695,201911,서양식 음식점업,동남아,알수없음,4,4,72500
136,201803,기타 외국식 음식점업,내국인,남성,3018,3123,103545550
319,201805,서양식 음식점업,법인,알수없음,15502,17175,822363870
474,201807,서양식 음식점업,일본,알수없음,17,17,330100
112,201802,일식 음식점업,내국인,알수없음,8,8,326000
3130,202108,한식 음식점업,동남아,알수없음,6,6,249600
