"visit_date","category","gender","counts","sales","sales_per_counts"
201801,간이주점,남성,7402,1376924531,186020.60672791136
201801,간이주점,여성,1064,155376360,146030.4135338346
201801,양식,남성,58297,1495741169,25657.25798926188
201801,양식,여성,71058,1446006969,20349.671662585493
201801,유흥주점,남성,13768,2799105875,203305.1913858222
201801,유흥주점,여성,3394,359732710,105990.78078962876
201801,일식/수산물,남성,21070,1517064178,72001.14750830564
201801,일식/수산물,여성,14430,839057362,58146.73333333333
201801,제과/제빵/떡/케익,남성,53102,703155885,13241.608319837294
201801,제과/제빵/떡/케익,여성,70518,893995054,12677.544088034261
201801,중식,남성,24785,688489623,27778.47984668146
201801,중식,여성,13062,363698260,27843.9947940591
201801,커피/음료,남성,48400,491886397,10162.94208677686
201801,커피/음료,여성,58362,581955750,9971.484013570474
201801,한식,남성,417222,16773790324,40203.513534760874
201801,한식,여성,262456,9431218808,35934.47590453257
201802,간이주점,남성,6506,1233887300,189653.7503842607
201802,간이주점,여성,923,146909108,159164.7973997833
201802,양식,남성,51254,1295783654,25281.610293830727
201802,양식,여성,62448,1270088678,20338.340347168843
201802,유흥주점,남성,11545,2385840943,206655.77678648767
201802,유흥주점,여성,2958,311558151,105327.29918864097
201802,일식/수산물,남성,18943,1330359795,70229.6254553133
201802,일식/수산물,여성,13062,739543340,56617.92527943653
201802,제과/제빵/떡/케익,남성,45969,674010319,14662.27934042507
201802,제과/제빵/떡/케익,여성,61370,859965382,14012.7974906306
201802,중식,남성,20445,571292139,27942.87791636097
201802,중식,여성,10294,291994106,28365.46590246746
201802,커피/음료,남성,43053,437650900,10165.398462360346
201802,커피/음료,여성,51276,512379174,9992.573016615961
201802,한식,남성,349293,13880656388,39739.29162050199
201802,한식,여성,219736,7705505138,35067.1038792005
201803,간이주점,남성,7505,1405295570,187247.91072618254
201803,간이주점,여성,1068,161197350,150933.84831460673
201803,양식,남성,61683,1514087425,24546.267610200543
201803,양식,여성,76340,1483813325,19436.90496463191
201803,유흥주점,남성,12977,2785371134,214639.06403637203
201803,유흥주점,여성,3276,368145110,112376.4072039072
201803,일식/수산물,남성,22264,1563830914,70240.3392921308
201803,일식/수산물,여성,16356,940606522,57508.34690633407
201803,제과/제빵/떡/케익,남성,52034,695755251,13371.165987623477
201803,제과/제빵/떡/케익,여성,71335,910035083,12757.203098058457
201803,중식,남성,25015,657182158,26271.523405956425
201803,중식,여성,12807,345742590,26996.376200515344
201803,커피/음료,남성,50959,507756390,9964.017935987755
201803,커피/음료,여성,63325,615025585,9712.20821160679
201803,한식,남성,423626,16652198192,39308.72560230014
201803,한식,여성,271350,9639881760,35525.637589828635
201804,간이주점,남성,7596,1434441523,188841.6960242233
201804,간이주점,여성,1068,163150010,152762.18164794007
201804,양식,남성,65812,1573921633,23915.420181729776
201804,양식,여성,80686,1589399009,19698.572354559652
201804,유흥주점,남성,13411,2806760368,209287.92543434494
201804,유흥주점,여성,3541,375552400,106058.28861903417
201804,일식/수산물,남성,24594,1786858955,72654.26343823697
201804,일식/수산물,여성,17626,1097551990,62268.92034494497
201804,제과/제빵/떡/케익,남성,53950,719864879,13343.185894346618
201804,제과/제빵/떡/케익,여성,73878,944852872,12789.367227050001
201804,중식,남성,25073,673778990,26872.69134128345
201804,중식,여성,13556,363835161,26839.418781351433
201804,커피/음료,남성,54582,542504950,9939.264775933458
201804,커피/음료,여성,67859,652864555,9620.898554355355
201804,한식,남성,436283,17814053445,40831.41778386964
201804,한식,여성,286432,10707527252,37382.44069098425
201805,간이주점,남성,7795,1467958910,188320.57857601027
201805,간이주점,여성,1067,155037800,145302.5304592315
201805,양식,남성,69545,1686042760,24243.91056150694
201805,양식,여성,83271,1674767893,20112.258685496752
201805,유흥주점,남성,12945,2612716807,201832.12105059868
201805,유흥주점,여성,3463,376345410,108676.12185965925
201805,일식/수산물,남성,25612,1789523124,69870.49523660784
201805,일식/수산물,여성,17923,1084638800,60516.587624839594
201805,제과/제빵/떡/케익,남성,54427,737126822,13543.403494589083
201805,제과/제빵/떡/케익,여성,74225,966257076,13017.94646008757
201805,중식,남성,25740,699923688,27192.06247086247
201805,중식,여성,13813,383792568,27784.881488452906
201805,커피/음료,남성,56579,556007175,9827.094416656357
201805,커피/음료,여성,67773,649939442,9589.946468357606
201805,한식,남성,448489,18155046136,40480.47139617694
201805,한식,여성,292138,10641061370,36424.7765439621
201806,간이주점,남성,6882,1311666618,190593.81255448997
201806,간이주점,여성,987,149550430,151520.19250253294
201806,양식,남성,70868,1669716412,23560.935993678388
201806,양식,여성,87042,1692761555,19447.640851542932
201806,유흥주점,남성,12103,2454210497,202777.03850285054
201806,유흥주점,여성,3293,346470900,105214.36380200426
201806,일식/수산물,남성,26075,1758720956,67448.55056567593
201806,일식/수산물,여성,18194,1050316272,57728.71671979773
201806,제과/제빵/떡/케익,남성,52422,682335576,13016.206478196178
201806,제과/제빵/떡/케익,여성,72598,904895895,12464.474159067742
201806,중식,남성,25818,690346010,26738.94221086064
201806,중식,여성,13815,375492990,27180.093376764387
201806,커피/음료,남성,58332,567276912,9724.969347870809
201806,커피/음료,여성,69991,675765462,9655.033675758312
201806,한식,남성,445171,17504370383,39320.55408595798
201806,한식,여성,299812,10639146886,35486.060884821156
201807,간이주점,남성,6826,1290627214,189075.18517433343
201807,간이주점,여성,1033,148794330,144040.97773475313
201807,양식,남성,78710,1860133313,23632.744416211408
201807,양식,여성,95471,1891491952,19812.21472489028
201807,유흥주점,남성,12550,2470893734,196883.9628685259
201807,유흥주점,여성,3336,335195400,100478.23741007195
201807,일식/수산물,남성,26465,1741831130,65816.4039297185
201807,일식/수산물,여성,18079,993802200,54969.976215498646
201807,제과/제빵/떡/케익,남성,52276,664946819,12719.925376845971
201807,제과/제빵/떡/케익,여성,71267,866156919,12153.68850940828
201807,중식,남성,27601,737256436,26711.221912249555
201807,중식,여성,14873,406210160,27311.918241108047
201807,커피/음료,남성,64434,656502840,10188.76431697551
201807,커피/음료,여성,76332,742345314,9725.217654456847
201807,한식,남성,465256,18254311630,39234.98381536186
201807,한식,여성,312765,11005936485,35189.15634741739
201808,간이주점,남성,6857,1261143977,183920.6616596179
201808,간이주점,여성,971,143587400,147875.798146241
201808,양식,남성,86794,2008212172,23137.684309975342
201808,양식,여성,100220,2016510128,20120.83544202754
201808,유흥주점,남성,12545,2447932642,195132.1356715823
201808,유흥주점,여성,3353,322565160,96201.95645690427
201808,일식/수산물,남성,27666,1868869850,67551.14038892504
201808,일식/수산물,여성,19070,1086543360,56976.57891976927
201808,제과/제빵/떡/케익,남성,56832,721858989,12701.62917018581
201808,제과/제빵/떡/케익,여성,76277,950916220,12466.617984451408
201808,중식,남성,29459,814950990,27663.90542788282
201808,중식,여성,15351,427116105,27823.340824701972
201808,커피/음료,남성,68473,683503860,9982.093087786427
201808,커피/음료,여성,79419,774741969,9755.12118007026
201808,한식,남성,499593,19664153244,39360.34580948892
201808,한식,여성,331624,11843010543,35712.16360396111
201809,간이주점,남성,7578,1432811398,189075.13829506465
201809,간이주점,여성,1068,165690340,155140.76779026218
201809,양식,남성,70160,1647435790,23481.12585518814
201809,양식,여성,84190,1664209478,19767.30583204656
201809,유흥주점,남성,12982,2709627197,208721.86080727162
201809,유흥주점,여성,3486,350504860,100546.4314400459
201809,일식/수산물,남성,23772,1625065780,68360.49890627629
201809,일식/수산물,여성,16398,934456165,56985.98396145872
201809,제과/제빵/떡/케익,남성,54658,763590225,13970.32868015661
201809,제과/제빵/떡/케익,여성,73333,975786300,13306.237301078641
201809,중식,남성,25775,703147936,27280.23030067895
201809,중식,여성,13320,369007340,27703.253753753754
201809,커피/음료,남성,57935,560129930,9668.247691378268
201809,커피/음료,여성,68549,641030182,9351.415512990707
201809,한식,남성,430881,17054559670,39580.672320199774
201809,한식,여성,282307,9944855608,35227.09535363983
201810,간이주점,남성,7078,1335525129,188686.79415089008
201810,간이주점,여성,1040,161265020,155062.51923076922
201810,양식,남성,66516,1538040876,23122.87082807144
201810,양식,여성,79239,1537109308,19398.393568823434
201810,유흥주점,남성,11989,2548603600,212578.4969555426
201810,유흥주점,여성,3165,371294930,117312.77409162717
201810,일식/수산물,남성,22545,1551209070,68805.01530272787
201810,일식/수산물,여성,16277,971887000,59709.22160103213
201810,제과/제빵/떡/케익,남성,52253,667071768,12766.190802441964
201810,제과/제빵/떡/케익,여성,70625,876267197,12407.323143362832
201810,중식,남성,26707,727600641,27243.817763133262
201810,중식,여성,14202,388266079,27338.83108012956
201810,커피/음료,남성,55055,513438030,9325.910998092817
201810,커피/음료,여성,66624,609801852,9152.885626801153
201810,한식,남성,434128,16993771621,39144.61085440239
201810,한식,여성,283549,10115412261,35674.30060060166
201811,간이주점,남성,7002,1319153198,188396.62924878605
201811,간이주점,여성,955,152352000,159530.89005235603
201811,양식,남성,59405,1392218291,23436.045635889233
201811,양식,여성,71018,1384537670,19495.58801993861
201811,유흥주점,남성,11819,2490023733,210679.73034943733
201811,유흥주점,여성,3171,355859660,112223.16619362978
201811,일식/수산물,남성,21776,1547885120,71082.16017634093
201811,일식/수산물,여성,15320,877935813,57306.51520887728
201811,제과/제빵/떡/케익,남성,51063,684740474,13409.718857098094
201811,제과/제빵/떡/케익,여성,70514,905161623,12836.6228408543
201811,중식,남성,25715,688952463,26791.851565234298
201811,중식,여성,13416,356264736,26555.212880143114
201811,커피/음료,남성,50827,462038250,9090.409624805714
201811,커피/음료,여성,61388,549384737,8949.383218218545
201811,한식,남성,416829,16343317606,39208.686550120074
201811,한식,여성,267937,9375079807,34989.86630066023
201812,간이주점,남성,8119,1577526022,194300.53233156793
201812,간이주점,여성,1085,179762700,165679.90783410138
201812,양식,남성,64154,1582311226,24664.264519749355
201812,양식,여성,74172,1501855331,20248.278744000432
201812,유흥주점,남성,13394,2807446123,209604.75757802
201812,유흥주점,여성,3466,406595500,117309.7230236584
201812,일식/수산물,남성,22229,1539407818,69252.22987988664
201812,일식/수산물,여성,15438,887729030,57502.85205337479
201812,제과/제빵/떡/케익,남성,54687,758488904,13869.638195549216
201812,제과/제빵/떡/케익,여성,72146,958682048,13288.083164693815
201812,중식,남성,26470,749821159,28327.20661125803
201812,중식,여성,13388,379112853,28317.36278757096
201812,커피/음료,남성,52251,512253460,9803.706340548506
201812,커피/음료,여성,61946,587855477,9489.805265876732
201812,한식,남성,431574,17360865383,40226.85653677006
201812,한식,여성,271818,9719459709,35757.23354965455
201901,간이주점,남성,7200,1365491075,189651.53819444444
201901,간이주점,여성,956,152885490,159922.06066945606
201901,양식,남성,66369,1579691328,23801.64426162817
201901,양식,여성,82308,1646374444,20002.60538465277
201901,유흥주점,남성,12330,2490661229,202000.099675588
201901,유흥주점,여성,3189,338597600,106176.73251803072
201901,일식/수산물,남성,21976,1458973076,66389.38278121587
201901,일식/수산물,여성,16150,876868548,54295.26613003096
201901,제과/제빵/떡/케익,남성,54088,722390310,13355.833271705369
201901,제과/제빵/떡/케익,여성,73235,938764124,12818.517430190483
201901,중식,남성,26784,745959752,27850.946535244922
201901,중식,여성,14200,404458653,28483.003732394365
201901,커피/음료,남성,53157,519867036,9779.841526045488
201901,커피/음료,여성,62901,599025684,9523.30939094768
201901,한식,남성,436916,17300107609,39595.958053721995
201901,한식,여성,286298,10149530441,35450.93029291158
201902,간이주점,남성,6572,1255463268,191032.14668289715
201902,간이주점,여성,877,135545210,154555.54161915623
201902,양식,남성,63075,1512325474,23976.622655568768
201902,양식,여성,77790,1575711083,20255.959416377427
201902,유흥주점,남성,11684,2257493906,193212.41920575144
201902,유흥주점,여성,3163,306678010,96957.95447360101
201902,일식/수산물,남성,20063,1365846594,68077.8843642526
201902,일식/수산물,여성,14577,794284834,54488.90951498937
201902,제과/제빵/떡/케익,남성,48967,703622078,14369.311536340801
201902,제과/제빵/떡/케익,여성,66371,918233992,13834.867517439845
201902,중식,남성,23901,680390525,28467.03171415422
201902,중식,여성,12451,363061215,29159.20126897438
201902,커피/음료,남성,51130,503219209,9841.955974965773
201902,커피/음료,여성,60492,590724676,9765.335515440058
201902,한식,남성,380067,15285751419,40218.57045994522
201902,한식,여성,250534,8938476970,35677.70031213328
201903,간이주점,남성,7201,1346103158,186932.809054298
201903,간이주점,여성,990,147644700,149136.0606060606
201903,양식,남성,69615,1565156091,22483.029390217627
201903,양식,여성,86275,1648423208,19106.6149869603
201903,유흥주점,남성,12219,2499055493,204522.09616171537
201903,유흥주점,여성,3351,343880250,102620.18800358102
