기준일(월),항공노선,도착출발구분,항공사,운항수(편),이용자수(명),화물량(톤)
200501,김포-광주,계,AAR 아시아나항공,301,33440,292.886
200501,김포-광주,계,KAL 대한항공,298,31404,195.099
200501,김포-광주,도착,AAR 아시아나항공,151,16957,154.289
200501,김포-광주,도착,KAL 대한항공,149,15948,109.774
200501,김포-광주,출발,AAR 아시아나항공,150,16483,138.597
200501,김포-광주,출발,KAL 대한항공,149,15456,85.325
200501,김포-김해,계,AAR 아시아나항공,694,60060,721.224
200501,김포-김해,계,KAL 대한항공,1185,193466,2880.062
200501,김포-김해,도착,AAR 아시아나항공,358,31127,569.229
200501,김포-김해,도착,KAL 대한항공,603,97724,2282.895
200501,김포-김해,출발,AAR 아시아나항공,336,28933,151.995
200501,김포-김해,출발,KAL 대한항공,582,95742,597.167
200501,김포-대구,계,AAR 아시아나항공,113,8033,69.354
200501,김포-대구,계,KAL 대한항공,118,10996,229.002
200501,김포-대구,도착,AAR 아시아나항공,61,4159,35.953
200501,김포-대구,도착,KAL 대한항공,61,6623,149.378
200501,김포-대구,출발,AAR 아시아나항공,52,3874,33.401
200501,김포-대구,출발,KAL 대한항공,57,4373,79.624
200501,김포-목포,계,AAR 아시아나항공,54,1882,5.701
200501,김포-목포,도착,AAR 아시아나항공,27,978,2.645
200501,김포-목포,출발,AAR 아시아나항공,27,904,3.056
200501,김포-사천,계,AAR 아시아나항공,116,8325,38.668
200501,김포-사천,계,KAL 대한항공,179,15482,95.727
200501,김포-사천,도착,AAR 아시아나항공,58,4030,23.816
200501,김포-사천,도착,KAL 대한항공,89,8026,68.81
200501,김포-사천,출발,AAR 아시아나항공,58,4295,14.852
200501,김포-사천,출발,KAL 대한항공,90,7456,26.917
200501,김포-여수,계,AAR 아시아나항공,298,20822,61.875
200501,김포-여수,계,KAL 대한항공,238,18716,68.956
200501,김포-여수,도착,AAR 아시아나항공,149,10818,37.718
200501,김포-여수,도착,KAL 대한항공,119,9770,45.237
200501,김포-여수,출발,AAR 아시아나항공,149,10004,24.157
200501,김포-여수,출발,KAL 대한항공,119,8946,23.719
200501,김포-울산,계,AAR 아시아나항공,424,38120,150.366
200501,김포-울산,계,KAL 대한항공,536,58520,244.169
200501,김포-울산,도착,AAR 아시아나항공,211,19471,39.79
200501,김포-울산,도착,KAL 대한항공,268,29510,109.364
200501,김포-울산,출발,AAR 아시아나항공,213,18649,110.576
200501,김포-울산,출발,KAL 대한항공,268,29010,134.805
200501,김포-제주,계,AAR 아시아나항공,1409,171528,3922.986
