"연월","중분류업종명","소분류업종명","성별","이용자수","이용건수","이용금액"
"201901","간이주점","꼬치구이전문점","남성","27408","27684","1211229664"
"201901","간이주점","꼬치구이전문점","여성","15015","15292","638431324"
"201901","간이주점","민속주점","남성","4793","4890","194798412"
"201901","간이주점","민속주점","여성","2571","2644","97687881"
"201901","간이주점","소주방/포장마차","남성","27409","28161","1228467220"
"201901","간이주점","소주방/포장마차","여성","16700","17027","685991957"
"201901","간이주점","이자까야","남성","6760","6780","343693016"
"201901","간이주점","이자까야","여성","3346","3427","188525860"
"201901","간이주점","호프/맥주","남성","94536","97445","5661708829"
"201901","간이주점","호프/맥주","여성","54993","56928","2185744221"
"201901","고기요리","갈매기살","남성","3201","3218","233119179"
"201901","고기요리","갈매기살","여성","1739","1790","128447745"
"201901","고기요리","갈비/삼겹살","남성","207756","210452","15090609100"
"201901","고기요리","갈비/삼겹살","여성","137681","140189","9278744516"
"201901","고기요리","곱창/양구이전문","남성","10467","10714","707276368"
"201901","고기요리","곱창/양구이전문","여성","6990","7141","428111109"
"201901","고기요리","기타고기요리","남성","6728","6845","465699444"
"201901","고기요리","기타고기요리","여성","3798","3884","229021015"
"201901","고기요리","막창구이","남성","14547","14727","827879363"
"201901","고기요리","막창구이","여성","10182","10292","531668591"
"201901","고기요리","불고기전문","남성","2210","2210","72130632"
"201901","고기요리","불고기전문","여성","1309","1309","42264549"
"201901","고기요리","사철탕전문","남성","2216","2259","90902713"
"201901","고기요리","사철탕전문","여성","792","792","33690304"
"201901","고기요리","족발/보쌈전문","남성","28173","28467","1264767544"
"201901","고기요리","족발/보쌈전문","여성","18932","19055","780914316"
"201901","닭/오리요리","닭갈비전문","남성","8543","8657","377743011"
"201901","닭/오리요리","닭갈비전문","여성","6112","6204","248047320"
"201901","닭/오리요리","닭내장/닭발요리","남성","18430","18578","599657926"
"201901","닭/오리요리","닭내장/닭발요리","여성","18596","18785","616251216"
"201901","닭/오리요리","닭도리탕전문","남성","301","301","6016665"
"201901","닭/오리요리","닭도리탕전문","여성","350","376","10715999"
"201901","닭/오리요리","불닭전문","남성","2601","2601","98598517"
"201901","닭/오리요리","불닭전문","여성","2401","2441","90352679"
"201901","닭/오리요리","삼계탕전문","남성","11021","11089","410957378"
"201901","닭/오리요리","삼계탕전문","여성","7969","8082","273812962"
"201901","닭/오리요리","오리고기전문","남성","6331","6352","385060896"
"201901","닭/오리요리","오리고기전문","여성","3951","4014","274577503"
"201901","닭/오리요리","옻닭전문","남성","110","110","7977858"
"201901","닭/오리요리","옻닭전문","여성","44","44","1136572"
"201901","닭/오리요리","찜닭전문점","남성","1797","1797","59095023"
"201901","닭/오리요리","찜닭전문점","여성","1800","1800","49556356"
"201901","닭/오리요리","토종닭전문","남성","606","606","49699723"
"201901","닭/오리요리","토종닭전문","여성","458","458","40393980"
"201901","닭/오리요리","후라이드/양념치킨","남성","227826","230008","5730508799"
"201901","닭/오리요리","후라이드/양념치킨","여성","182610","184457","4318368669"
"201901","별식/퓨전요리","돌구이요리전문","남성","882","924","56226663"
"201901","별식/퓨전요리","돌구이요리전문","여성","441","441","30661448"
"201901","별식/퓨전요리","동남아음식전문점","남성","7613","7634","198014182"
"201901","별식/퓨전요리","동남아음식전문점","여성","8350","8392","236271437"
"201901","별식/퓨전요리","샤브샤브전문","남성","8579","8658","589329007"
"201901","별식/퓨전요리","샤브샤브전문","여성","9725","9803","635371909"
"201901","별식/퓨전요리","순대전문점","남성","39480","39726","836493219"
"201901","별식/퓨전요리","순대전문점","여성","21272","21385","436576325"
"201901","별식/퓨전요리","죽전문점","남성","11648","11752","168151913"
"201901","별식/퓨전요리","죽전문점","여성","13356","13524","197370739"
"201901","별식/퓨전요리","철판구이요리전문","남성","1005","1005","51444610"
"201901","별식/퓨전요리","철판구이요리전문","여성","638","638","26768221"
"201901","별식/퓨전요리","퓨전음식전문","남성","357","357","11946571"
"201901","별식/퓨전요리","퓨전음식전문","여성","927","927","30154310"
"201901","부페","고기부페","남성","994","1016","78635637"
"201901","부페","고기부페","여성","930","951","86029023"
"201901","부페","부페","남성","12725","12904","605976003"
"201901","부페","부페","여성","8588","8706","554289669"
"201901","부페","한식부페","남성","2342","2369","76468320"
"201901","부페","한식부페","여성","999","999","29328480"
"201901","분식","국수/만두/칼국수","남성","142158","143854","3711355750"
"201901","분식","국수/만두/칼국수","여성","103266","104564","2691778034"
"201901","분식","떡볶이전문","남성","30408","31789","486318373"
"201901","분식","떡볶이전문","여성","40174","41574","652043592"
"201901","분식","라면김밥분식","남성","165769","171676","2841051653"
"201901","분식","라면김밥분식","여성","192900","200181","3116797766"
"201901","분식","스낵","남성","22312","23089","346988956"
"201901","분식","스낵","여성","22626","23518","383507903"
"201901","분식","우동전문점","남성","7067","7182","196144119"
"201901","분식","우동전문점","여성","7634","7772","205037911"
"201901","양식","기타서양음식전문","남성","1268","1289","60833160"
"201901","양식","기타서양음식전문","여성","1164","1205","55144800"
"201901","양식","돈가스전문점","남성","26027","26156","580632135"
"201901","양식","돈가스전문점","여성","24679","24873","565295205"
"201901","양식","바베큐전문","남성","3762","3784","134983565"
"201901","양식","바베큐전문","여성","2156","2156","65592307"
"201901","양식","스테이크전문점","남성","6043","6088","377332354"
"201901","양식","스테이크전문점","여성","6681","6886","388062315"
"201901","양식","스파게티전문점","남성","4896","5017","213910034"
"201901","양식","스파게티전문점","여성","6900","7230","253475875"
"201901","양식","정통양식/경양식","남성","79687","82507","3435730439"
"201901","양식","정통양식/경양식","여성","90827","94818","3297619870"
"201901","양식","카레전문점","남성","1822","1897","58497027"
"201901","양식","카레전문점","여성","2085","2123","66065848"
"201901","양식","패밀리레스토랑","남성","4264","4443","322146366"
"201901","양식","패밀리레스토랑","여성","6680","7038","469637628"
"201901","유흥주점","나이트클럽","남성","3837","4489","656498196"
"201901","유흥주점","나이트클럽","여성","2451","2586","275701582"
"201901","유흥주점","룸살롱/단란주점","남성","31321","33258","7214626494"
"201901","유흥주점","룸살롱/단란주점","여성","6025","6361","1376955461"
"201901","유흥주점","빠/카페","남성","13755","14796","693540733"
"201901","유흥주점","빠/카페","여성","14406","15731","477242535"
"201901","유흥주점","일반유흥주점","남성","50843","54344","12915653227"
"201901","유흥주점","일반유흥주점","여성","16212","17223","2191698454"
"201901","일식/수산물","갈치/생선구이","남성","3891","3942","330123664"
"201901","일식/수산물","갈치/생선구이","여성","2570","2621","203481303"
"201901","일식/수산물","게장전문","남성","565","565","37048261"
"201901","일식/수산물","게장전문","여성","362","362","20536954"
"201901","일식/수산물","고등어전문","남성","7060","7156","374417856"
"201901","일식/수산물","고등어전문","여성","5908","6024","272220477"
"201901","일식/수산물","곰장어전문","남성","8062","8205","804477319"
"201901","일식/수산물","곰장어전문","여성","4764","4806","384594968"
"201901","일식/수산물","굴요리전문","남성","8122","8165","223458301"
"201901","일식/수산물","굴요리전문","여성","5165","5187","129337849"
"201901","일식/수산물","낙지/오징어","남성","17593","17846","739489963"
"201901","일식/수산물","낙지/오징어","여성","16177","16220","610601892"
"201901","일식/수산물","매운탕전문","남성","6069","6090","177005511"
"201901","일식/수산물","매운탕전문","여성","4788","4788","148429780"
"201901","일식/수산물","민물장어전문","남성","2696","2826","317752945"
"201901","일식/수산물","민물장어전문","여성","1541","1597","148966925"
"201901","일식/수산물","바닷가재/게요리전문","남성","2346","2363","565483183"
"201901","일식/수산물","바닷가재/게요리전문","여성","1479","1513","406874578"
"201901","일식/수산물","복전문","남성","696","696","34553360"
"201901","일식/수산물","복전문","여성","696","696","100866206"
"201901","일식/수산물","생선찜전문","남성","3380","3380","133986472"
"201901","일식/수산물","생선찜전문","여성","1940","1940","77056686"
"201901","일식/수산물","수산물전문음식점","남성","15570","15695","830804820"
"201901","일식/수산물","수산물전문음식점","여성","16325","16613","1136730639"
"201901","일식/수산물","아구전문","남성","10039","10147","498757172"
"201901","일식/수산물","아구전문","여성","8533","8597","418131650"
"201901","일식/수산물","일식","남성","70411","71216","4739944817"
"201901","일식/수산물","일식","여성","57549","58495","3102219463"
"201901","일식/수산물","조개구이전문","남성","2641","2690","180381373"
"201901","일식/수산물","조개구이전문","여성","1346","1346","94309498"
"201901","일식/수산물","참치전문점","남성","3626","3726","351421319"
"201901","일식/수산물","참치전문점","여성","1747","1926","131032034"
"201901","일식/수산물","초밥전문","남성","19118","19416","1212484341"
"201901","일식/수산물","초밥전문","여성","17022","17284","860343922"
"201901","일식/수산물","해물찜/탕전문","남성","5531","5587","370103136"
"201901","일식/수산물","해물찜/탕전문","여성","4860","4974","292678446"
"201901","일식/수산물","홍어전문","남성","831","851","60824168"
"201901","일식/수산물","홍어전문","여성","379","379","18756868"
"201901","일식/수산물","횟집","남성","122654","127362","10203400473"
"201901","일식/수산물","횟집","여성","97310","101462","8038498199"
"201901","제과/제빵/떡/케익","떡/한과","남성","19537","20244","643572663"
"201901","제과/제빵/떡/케익","떡/한과","여성","28332","29550","866323952"
"201901","제과/제빵/떡/케익","와플/파이/디저트","남성","4959","5236","89607589"
"201901","제과/제빵/떡/케익","와플/파이/디저트","여성","5259","5875","85439813"
"201901","제과/제빵/떡/케익","제과점","남성","244665","253265","3506031416"
"201901","제과/제빵/떡/케익","제과점","여성","357777","371833","4978545756"
"201901","제과/제빵/떡/케익","찐빵/만두","남성","18095","18331","282024682"
"201901","제과/제빵/떡/케익","찐빵/만두","여성","20701","21068","320012691"
"201901","제과/제빵/떡/케익","케익전문점","남성","1701","1782","41913780"
"201901","제과/제빵/떡/케익","케익전문점","여성","3296","3400","64378130"
"201901","제과/제빵/떡/케익","호두과자","남성","138","138","2163375"
"201901","제과/제빵/떡/케익","호두과자","여성","483","506","20287651"
"201901","제과/제빵/떡/케익","호떡/붕어빵","남성","2512","2573","20850197"
"201901","제과/제빵/떡/케익","호떡/붕어빵","여성","3261","3365","27340885"
"201901","중식","중국음식","남성","183970","185310","5210577237"
"201901","중식","중국음식","여성","114522","115692","3455772541"
"201901","커피/음료","생과일주스전문점","남성","8816","9430","74644517"
"201901","커피/음료","생과일주스전문점","여성","11149","11575","94141227"
"201901","커피/음료","아이스크림/빙수","남성","32282","33808","462985376"
"201901","커피/음료","아이스크림/빙수","여성","38006","39882","482172486"
"201901","커피/음료","전통찻집/인삼찻집","남성","18616","21858","588467843"
"201901","커피/음료","전통찻집/인삼찻집","여성","25238","30118","857382583"
"201901","커피/음료","커피전문점","남성","481286","514988","6760602730"
"201901","커피/음료","커피전문점","여성","633801","682695","9016209077"
"201901","패스트푸드","도너츠전문","남성","16274","17315","161627798"
"201901","패스트푸드","도너츠전문","여성","22339","24034","205683519"
"201901","패스트푸드","도시락전문점","남성","9271","9494","156752521"
