"연월","업종명","이용자구분","성별","이용자수","이용건수","이용금액"
"201801","건강보조식품 소매업","기타외국","알수없음","65","78","101523250"
"201801","건강보조식품 소매업","내국인","남성","159","165","25558470"
"201801","건강보조식품 소매업","내국인","알수없음","1","1","396000"
"201801","건강보조식품 소매업","내국인","여성","200","218","32041740"
"201801","건강보조식품 소매업","동남아","알수없음","8","8","1550000"
"201801","건강보조식품 소매업","법인","알수없음","189","202","43414040"
"201801","건강보조식품 소매업","일본","알수없음","1","2","1264000"
"201801","건강보조식품 소매업","제주도민","남성","408","417","54726228"
"201801","건강보조식품 소매업","제주도민","여성","540","568","65995757"
"201801","건강보조식품 소매업","중국","알수없음","4","4","1804000"
"201801","골프장 운영업","기타외국","알수없음","2","2","186820"
"201801","골프장 운영업","내국인","남성","3217","3411","533169179"
"201801","골프장 운영업","내국인","알수없음","1","1","200000"
"201801","골프장 운영업","내국인","여성","1409","1518","199279518"
"201801","골프장 운영업","법인","알수없음","4522","4970","1127065029"
"201801","골프장 운영업","일본","알수없음","7","8","4201545"
"201801","골프장 운영업","제주도민","남성","4268","4571","482958440"
"201801","골프장 운영업","제주도민","여성","948","990","111612634"
"201801","과실 및 채소 소매업","기타외국","알수없음","1","1","22000"
"201801","과실 및 채소 소매업","내국인","남성","9807","10526","669858381"
"201801","과실 및 채소 소매업","내국인","알수없음","9","9","1123300"
"201801","과실 및 채소 소매업","내국인","여성","10321","11157","642386009"
"201801","과실 및 채소 소매업","법인","알수없음","4573","5128","848883367"
"201801","과실 및 채소 소매업","제주도민","남성","4500","4859","398382310"
"201801","과실 및 채소 소매업","제주도민","여성","4897","5300","346629080"
"201801","관광 민예품 및 선물용품 소매업","기타외국","알수없음","1","1","440000"
"201801","관광 민예품 및 선물용품 소매업","내국인","남성","8689","9383","313332360"
"201801","관광 민예품 및 선물용품 소매업","내국인","알수없음","5","5","467000"
"201801","관광 민예품 및 선물용품 소매업","내국인","여성","10345","11246","330131900"
"201801","관광 민예품 및 선물용품 소매업","동남아","알수없음","28","29","9720000"
"201801","관광 민예품 및 선물용품 소매업","법인","알수없음","1340","1461","106989320"
"201801","관광 민예품 및 선물용품 소매업","제주도민","남성","530","565","32204530"
"201801","관광 민예품 및 선물용품 소매업","제주도민","여성","657","717","37860690"
"201801","관광 민예품 및 선물용품 소매업","중국","알수없음","5","5","1207250"
"201801","그외 기타 분류안된 오락관련 서비스업","내국인","남성","39","43","2346000"
"201801","그외 기타 분류안된 오락관련 서비스업","내국인","알수없음","1","1","110000"
"201801","그외 기타 분류안된 오락관련 서비스업","내국인","여성","24","24","1098000"
"201801","그외 기타 분류안된 오락관련 서비스업","법인","알수없음","15","15","940000"
"201801","그외 기타 분류안된 오락관련 서비스업","제주도민","남성","3","3","125000"
"201801","그외 기타 분류안된 오락관련 서비스업","제주도민","여성","3","3","85000"
"201801","그외 기타 스포츠시설 운영업","내국인","남성","243","253","14522300"
"201801","그외 기타 스포츠시설 운영업","내국인","여성","187","214","11135000"
"201801","그외 기타 스포츠시설 운영업","법인","알수없음","56","62","5709700"
"201801","그외 기타 스포츠시설 운영업","제주도민","남성","20","20","2619800"
"201801","그외 기타 스포츠시설 운영업","제주도민","여성","24","25","1831000"
"201801","그외 기타 종합 소매업","내국인","남성","3770","4229","176738520"
"201801","그외 기타 종합 소매업","내국인","알수없음","13","13","332920"
"201801","그외 기타 종합 소매업","내국인","여성","3247","3599","150764020"
"201801","그외 기타 종합 소매업","법인","알수없음","5865","8144","1004211170"
"201801","그외 기타 종합 소매업","제주도민","남성","15334","17699","1016166180"
"201801","그외 기타 종합 소매업","제주도민","여성","14832","17467","995015650"
"201801","기타 갬블링 및 베팅업","일본","알수없음","22","25","90980000"
"201801","기타 대형 종합 소매업","내국인","남성","15992","18029","862400630"
"201801","기타 대형 종합 소매업","내국인","알수없음","128","155","7527770"
"201801","기타 대형 종합 소매업","내국인","여성","14118","16025","736845340"
"201801","기타 대형 종합 소매업","법인","알수없음","11660","13990","1062947150"
"201801","기타 대형 종합 소매업","제주도민","남성","39358","45068","2428194524"
"201801","기타 대형 종합 소매업","제주도민","여성","45633","53199","2701795750"
"201801","기타 대형 종합 소매업","중국","알수없음","25","27","2601700"
"201801","기타 수상오락 서비스업","내국인","남성","10","10","1552000"
"201801","기타 수상오락 서비스업","내국인","여성","1","1","36000"
"201801","기타 수상오락 서비스업","법인","알수없음","3","3","890000"
"201801","기타 수상오락 서비스업","제주도민","남성","7","7","218000"
"201801","기타 수상오락 서비스업","제주도민","여성","3","4","115000"
"201801","기타 외국식 음식점업","기타외국","알수없음","1","1","78000"
"201801","기타 외국식 음식점업","내국인","남성","3344","3455","119065520"
