"visit_date","visitor_local","visitor_foreigner"
201901,1024130,106713
201902,998890,111927
201903,1038223,126611
201904,1158666,139360
201905,1176059,147807
201906,1155020,152197
201907,1157447,152629
201908,1243132,178323
201909,1032478,149038
201910,1254419,167893
201911,1177768,145783
201912,1143772,147851
202001,1104438,145608
202002,599575,29229
202003,477176,3586
202004,541099,1159
202005,765616,2486
202006,860528,2889 
202007,988094,4382
202008,1127097,5998
202009,726169,3508
202010,1072455,5788
202011,1138369,5331 
202012,623062,2803
202101,465672,2344
202102,790712,3056
202103,889216,4110
202104,1078759,4102
202105,1132368,4084
202106,1134254,4613 
202107,1126885,4627
202108,969818,4376
202109,867371,5025
202110,1218155,3939"
202111,1200047,4297 
202112,1086902,3705
